amfi_code,scheme_name,fund_house,sub_category,plan,expense_ratio_pct,cagr_3yr_pct,sharpe,sortino,ann_return_pct,ann_vol_pct,alpha_annual_pct,beta,r_squared,max_drawdown_pct,trough_date,recovered,rank_return_3yr,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,scorecard,overall_rank
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,1.61,26.863103668817146,1.1321218524747245,1.875101063919208,26.59081485146698,17.74615939755084,26.598577542043046,-0.0025230046646992346,3.3579781920088265e-06,-17.24810575345138,2022-10-24,True,75.0,87.5,82.5,7.5,47.5,66.75,11
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,1.52,26.99350260734621,0.9497958246616031,1.619793176491409,30.09312299771723,24.840205005242098,30.05787817097677,0.011455159960520708,3.5329906267955625e-05,-31.171900300634213,2025-01-03,True,77.5,70.0,97.5,36.25,10.0,66.69,12
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,1.51,22.646647456747715,1.0816591793457044,1.8501325468557264,21.80369513249999,14.148352294996656,21.829397904608644,-0.00835383212696202,5.791756270127831e-05,-17.41407508665723,2024-07-19,True,67.5,82.5,75.0,41.25,45.0,66.56,13
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,0.66,16.263375081360643,0.9532794968660103,1.609776489628308,19.7881133444817,13.9393676127175,19.86859936686296,-0.026159307513513398,0.0005850821704543425,-11.803493502764296,2024-09-02,True,45.0,72.5,65.0,92.5,75.0,66.0,14
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,0.92,18.429918008610045,0.7757902498211207,1.3306512447571366,17.87996380243675,14.668866752399518,17.729754927531765,0.048820404259577385,0.0018401792783071574,-15.200013055606398,2025-01-01,True,55.00000000000001,57.49999999999999,62.5,67.5,57.49999999999999,59.25,15
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,0.89,20.00321571698329,0.6648569985490619,1.137976718780742,15.131944040863557,12.983158874316306,15.136354648239239,-0.0014335213897801293,2.0253408972328315e-06,-11.650624505409091,2022-06-09,True,60.0,55.00000000000001,45.0,70.0,77.5,59.0,16
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,0.72,21.084691029380597,0.6452074382933215,1.1544757169236237,15.531106361835715,13.997213649186154,15.643835948169668,-0.03663900671860935,0.0011382947171084277,-18.62974313859551,2024-02-29,True,65.0,50.0,47.5,88.75,37.5,58.56,17
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,1.57,19.662361245910965,0.8170993373494368,1.4357420130649492,16.988800557692826,12.836628397860562,17.048756803412697,-0.019486785689474546,0.00038285030730923926,-10.85986215250232,2022-03-29,True,57.49999999999999,62.5,55.00000000000001,17.5,85.0,55.0,18
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular,1.42,13.974980348212673,0.7979728586052847,1.3379431500669237,17.57940429247065,13.88443751311979,17.703302365844074,-0.04026895236982061,0.0013974446083318615,-13.897862823061635,2023-11-09,True,40.0,60.0,60.0,52.5,67.5,53.62,19
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,1.52,14.744434832760533,0.9262873467360146,1.6327409778735162,20.791821293359273,15.429144469823298,20.873010086942337,-0.026387719943843004,0.00048592647527973177,-15.27259422823477,2024-01-24,True,42.5,65.0,67.5,36.25,55.00000000000001,53.44,20
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,1.41,18.417429266835228,0.6488787755249532,1.0958951614736467,16.382758819055006,15.230516379673068,16.25385327998104,0.041896462728119754,0.0012571178108220732,-19.82565826298267,2023-08-14,True,52.5,52.5,52.5,55.00000000000001,35.0,51.12,21
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,0.74,7.392538786263403,0.4957233929533124,1.0521238822609293,6.74484404275901,0.49391262595120156,6.746210411099539,-0.0004440926329707229,0.00013430661440679839,-0.09773140045925555,2025-10-20,True,30.0,45.0,25.0,85.0,100.0,48.0,22
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,0.75,20.8115598266319,0.12961449795669325,0.22108683979276347,8.312437838149542,13.983295593638855,8.232801295222094,0.02588321244009315,0.000569203809024487,-21.751396370148225,2023-05-22,True,62.5,30.0,32.5,82.5,25.0,47.62,23
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,1.64,25.549670172502026,0.6195175900829828,1.0887552508030014,16.26258549662886,15.758366917912994,16.211256794033254,0.016682689437770803,0.00018619166432850108,-21.539827112383225,2022-07-04,True,70.0,47.5,50.0,3.75,27.500000000000004,46.19,24
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Regular,1.54,18.03973982038829,0.4640374492204777,0.7621288703723165,13.160728496649924,14.353859818510504,13.173190226099432,-0.004050271130006511,1.322760788085031e-05,-14.844576917771747,2022-02-04,True,50.0,40.0,42.5,26.25,62.5,43.69,25
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,0.78,11.242518737374208,0.3006119210425478,0.508812819716923,12.016959264353062,18.352430087335776,11.98910097121797,0.00905441262173916,4.043746553634249e-05,-21.11727956013212,2025-09-12,True,37.5,35.0,37.5,77.5,30.0,42.12,26
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,0.6,6.694394239074852,-0.08874729621557331,-0.1877230477424232,6.454444499823224,0.5133170487371137,6.4556774953759986,-0.00040074423947840073,0.00010125435692271747,-0.11629327956168556,2024-04-30,True,27.500000000000004,17.5,22.5,95.0,97.5,41.12,27
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular,1.59,17.263014444437943,0.49427253786723496,0.8625738849916581,13.15478451977995,13.463795800784448,13.042924450705446,0.0363563990221998,0.0012113711061211869,-17.57361416468729,2025-02-14,True,47.5,42.5,40.0,15.0,42.5,39.38,28
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular,1.53,8.0060298597036,0.4484340089089914,0.7460146308533572,17.81915642892773,25.24152094634046,17.50072167561127,0.10349663691337592,0.0027930065610663247,-23.34488614483311,2026-02-20,True,35.0,37.5,57.49999999999999,31.25,22.5,38.31,29
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,0.55,4.061259859840338,-0.356629507514368,-0.6135251287271027,5.0786394904641625,3.9855381553882614,5.074772999976104,0.0012566742731558512,1.6516652310332888e-05,-8.316361763638703,2024-02-09,True,20.0,7.5,15.0,100.0,87.5,34.62,30
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,0.77,5.838988442093762,-0.22657538662791596,-0.3767670081706672,5.601161309959095,3.9670623690338704,5.620895216638369,-0.006413850728276473,0.0004342603321720048,-4.328728923970093,2025-04-01,True,22.5,10.0,17.5,80.0,90.0,33.75,31
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,0.79,6.314299292105274,-0.8155673679088278,-1.6810378667512837,6.086966398608307,0.5064371352310743,6.086145795787115,0.00026670968338238303,4.6076236771051865e-05,-0.16224980244717857,2023-09-12,True,25.0,2.5,20.0,75.0,95.0,32.88,32
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,0.56,3.9154793546847033,-0.5670947928476847,-0.9418212366054207,4.2853555962226935,3.9052455281001603,4.281792031506088,0.0011582183155281404,1.4612842041844878e-05,-4.308263824636349,2023-07-28,True,17.5,5.0,7.5,97.5,92.5,31.88,33
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,1.56,7.75416750547262,0.07599984804658917,0.12469346986475664,7.859995621336482,17.894715006571875,7.80443887615508,0.018056874208118173,0.00016915548838314384,-24.003511326274886,2024-10-17,True,32.5,27.500000000000004,30.0,20.0,20.0,27.62,34
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,0.72,-1.337083602283895,-0.05718662582817997,-0.09438726129459607,5.073186530232969,24.950125122855862,4.882421594553985,0.062001804382671694,0.0010259205326765965,-52.57422117012851,2025-10-28,False,7.5,22.5,12.5,88.75,2.5,23.94,35
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular,1.64,0.5257668501786883,0.030784850954585913,0.05257398559304797,6.929469030104402,13.950661341123835,6.899529821677549,0.009730745001153639,8.082637693810776e-05,-14.401617909337261,2025-02-07,True,12.5,25.0,27.500000000000004,3.75,65.0,22.56,36
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,1.53,-4.151453816140693,0.1626607692864677,0.27664379626092334,10.69621227736075,25.79732221707774,10.897091901704538,-0.06528924788351526,0.0010641052735572626,-35.44691649336603,2026-05-11,False,5.0,32.5,35.0,31.25,7.5,22.06,37
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,1.38,-11.703299329834216,-0.07597357117478923,-0.12818559275851932,4.595602382589966,25.066580232600437,4.801595363775955,-0.06695117463929198,0.0011851593464486706,-51.677753708526566,2026-05-11,False,2.5,20.0,10.0,60.0,5.0,17.25,38
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,1.55,1.2923525892154508,-0.2015170675596694,-0.35104746015230903,3.568302536201135,14.548134802183876,3.747580763443281,-0.05826843143880891,0.002665032698133324,-24.734440880673304,2022-09-15,True,15.0,15.0,5.0,22.5,17.5,14.38,39
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular,1.51,-0.7672319440258146,-0.20583160785470314,-0.34722230254727277,2.7673310029606264,18.134576297311302,2.8969397866379443,-0.04212502902189432,0.0008964294600687576,-28.00112356639287,2026-04-27,False,10.0,12.5,2.5,41.25,15.0,14.31,40
